"LD.x","LOC_C.x","MRD.x","NOAIT_C.x","NOAM.x","NOASIT_C.x","NOAU.x","NOBU.x","NOCT.x","NODT_C.x","NODV_C.x","NOECU_C.x","NOEET.x","NOET.x","NOFS_C.x","NOIS_C.x","NOL_C.x","NOM.x","NOMM.x","NOMR_C.x","NONT.x","NOPA.x","NOPT.x","NOPV.x","NORT.x","NPM.x","Nono_C.x","ALU.x","WMC.x","WMCNAMM.x","WOC.x","MAX_CYCLO.x","MIN_CYCLO.x","MEAN_CYCLO.x","LD.y","LOC_C.y","MRD.y","NOAIT_C.y","NOAM.y","NOASIT_C.y","NOAU.y","NOBU.y","NOCT.y","NODT_C.y","NODV_C.y","NOECU_C.y","NOEET.y","NOET.y","NOFS_C.y","NOIS_C.y","NOL_C.y","NOM.y","NOMM.y","NOMR_C.y","NONT.y","NOPA.y","NOPT.y","NOPV.y","NORT.y","NPM.y","Nono_C.y","ALU.y","WMC.y","WMCNAMM.y","WOC.y","MAX_CYCLO.y","MIN_CYCLO.y","MEAN_CYCLO.y","goodTest"
0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,0,0,0,2,0,"false",4,4,1,2,1,1.33333333333333,0,28,0,2,1,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,"false",4,3,0.75,1,1,1,0
0,202,0,0,0,0,0,0,0,0,31,0,0,0,0,19,0,14,1,0,0,1,0,1,0,5,1,"false",42,41,0.928571428571429,9,1,3,0,112,0,1,1,0,0,0,11,0,24,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,3,"false",14,13,0.923076923076923,2,1,1.07692307692308,0
0,55,0,0,0,0,0,0,0,0,8,0,0,0,1,5,0,6,1,0,0,1,0,1,0,5,0,"false",12,11,0.833333333333333,5,1,2,0,65,0,0,1,0,0,0,7,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,"false",8,7,0.875,1,1,1,0
0,305,0,0,4,0,0,0,0,0,40,0,0,0,3,15,0,25,1,0,0,1,0,13,0,12,5,"false",75,70,0.8,18,1,3.4,3.3112582781457,151,0,14,1,0,0,0,12,0,40,0,0,0,0,0,5,14,0,0,0,0,0,0,0,12,18,"false",15,14,0.928571428571429,2,1,1.07142857142857,0
0,115,0,0,2,0,0,0,0,0,12,0,0,0,0,6,0,9,0,0,0,1,0,6,0,6,1,"false",21,19,0.777777777777778,5,1,2.33333333333333,0,36,0,3,1,0,0,0,4,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,"false",5,4,0.8,1,1,1,0
0,59,0,0,2,0,0,0,0,0,7,0,0,0,0,4,0,6,0,0,0,1,0,2,0,5,1,"false",12,10,0.666666666666667,4,1,2,0,94,0,2,1,0,0,0,12,0,26,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,4,"false",13,12,0.923076923076923,1,1,1,0
0,48,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,5,0,0,0,2,0,1,0,5,1,"false",9,9,1,4,1,1.8,0,62,0,1,1,0,0,0,6,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,"false",8,7,0.857142857142857,2,1,1.14285714285714,0
0,73,0,0,2,0,0,0,0,0,10,0,0,0,0,4,0,7,1,0,0,1,0,6,0,6,0,"false",11,5,0.571428571428571,4,1,1.57142857142857,0,78,0,2,1,0,0,0,10,0,21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,2,"false",11,10,0.909090909090909,1,1,1,0
0,56,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,8,1,0,0,1,0,3,0,8,0,"false",10,7,0.625,2,1,1.25,0,45,0,2,1,0,0,0,5,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,2,"false",6,5,0.833333333333333,1,1,1,0
0,52,0,0,2,0,0,0,0,0,10,0,0,0,0,4,0,5,0,0,0,1,0,0,0,4,2,"false",10,8,0.6,5,1,2,0,22,0,3,1,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,"false",3,2,0.666666666666667,1,1,1,0
0,29,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,1,0,0,0,4,0,"false",5,3,0.5,2,1,1.25,0,36,0,1,1,0,0,0,4,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,"false",5,4,0.8,1,1,1,0
